Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5
dvdtmax-vrest-APD50-camax-CaTD90,0.8125,0.5,0.8125,0.909090909,0.777777778,0.916666667,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.236884127,0.933649289,0.8,-9.690704496,21.35807172,-21.72222171,88.90361293,11.63613002,16.15149024,79.33286111
dvdtmax-vrest-APD50-carest-CaTD90,0.8125,0.5,0.8125,0.909090909,0.793253968,0.9375,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.232289404,0.943127962,0.8,-7.929025154,23.38613338,-7.534573183,96.30323396,47.65288293,-41.55349815,29.66225462
dvdtmax-vrest-APD90-camax-carest,0.8125,0.5625,0.875,0.890909091,0.825396825,0.979166667,0.8,0.428571429,1,0.818181818,0.8,0.833333333,4.3999813,2.999986,5.99997,0.244445368,0.666667056,1.20E-06,0.727272727,0.545454545,0.8,0.193385163,0.943127962,0.8,-4.456531048,15.12840714,-0.374014038,68.75999321,47.25723673,-5.798633828,-45.2624381
dvdtmax-vrest-APD90-camax-CaTD50,0.8125,0.5,0.8125,0.909090909,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.714285714,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.24071547,0.928909953,0.8,11.09502419,39.54729422,-24.52075433,77.62179925,-1.964815136,11.27858158,43.21476702
dvdtmax-vrest-APD90-carest-CaTD50,0.8125,0.5,0.8125,0.909090909,0.793650794,0.927083333,0.6,0.428571429,1,0.818181818,0.714285714,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.233603973,0.938388626,0.8,10.60564617,38.28530598,-23.31716666,76.79378551,4.130405137,6.635006294,37.82769976
dvdtmax-vrest-APD90-carest-CaTD90,0.8125,0.5,0.8125,0.927272727,0.857142857,0.9375,0.8,0.428571429,1,0.818181818,0.8,0.75,4.3999813,3.428556857,3.999988,0.244445368,0.571429,1.33E-06,0.727272727,0.6,0.727272727,0.14437529,0.962085308,0.8,13.44743853,43.2321895,-26.8532798,73.43995022,-34.47856136,106.8075781,122.1288206
dvdtmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.5,0.8125,0.909090909,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.714285714,0.75,4.3999813,1.9999965,3.999988,0.4000006,0.685714663,1.33E-06,0.727272727,0.545454545,0.727272727,0.237198806,0.943127962,0.8,-2.143547229,26.1895909,-20.88418043,81.21784868,15.52563172,16.52119561,33.31302596
dvdtmax-vrest-max_dv-camax-carest,0.75,0.5625,0.875,0.854545455,0.857142857,0.979166667,0.8,0.428571429,1,0.727272727,0.8,0.833333333,2.933326244,2.999986,5.99997,0.275000997,0.666667056,1.20E-06,0.666666667,0.545454545,0.8,0.216954137,0.928909953,0.8,-0.205926666,11.78122275,-4.903037663,45.30696551,19.89159211,-5.316750537,-23.3280153
dvdtmax-vrest-max_dv-carest-CaTD50,0.8125,0.5,0.8125,0.909090909,0.793650794,0.927083333,0.6,0.428571429,1,0.818181818,0.714285714,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.234642491,0.938388626,0.8,11.69860602,38.84454376,-24.10591278,73.94870307,0.345909549,11.8078607,39.31139421
dvdtmax-vrest-max_dv-CaTD50-CaTD90,0.8125,0.5,0.8125,0.909090909,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.714285714,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.238803614,0.938388626,0.8,7.797792068,34.63195518,-22.83094891,76.41294082,3.980919559,35.85979343,0.412870943
dvdtmax-vrest-camax-CaTD50-CaTD90,0.8125,0.5,0.8125,0.909090909,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.227819823,0.943127962,0.8,-21.64226071,6.636266356,-6.772450466,87.25512803,49.8691577,-42.22292507,173.7197675
vmax-vrest-APD50-APD90-carest,0.8125,0.5,0.8125,0.872727273,0.761904762,0.9375,0.6,0.428571429,1,0.909090909,0.666666667,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.217281496,0.933649289,0.8,-6.90403549,32.70050354,1.71044889,117.2891289,142.7619889,-67.97991819,-88.40138653
vmax-vrest-APD50-camax-CaTD90,0.8125,0.5,0.8125,0.963636364,0.857142857,0.927083333,0.8,0.285714286,1,0.818181818,0.8,0.75,4.3999813,2.999986,3.999988,0.220000858,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.180651356,0.962085308,0.8,3.67597434,33.31584119,14.67342217,75.38862501,3.946785214,26.03239196,81.70423666
vmax-vrest-APD90-carest-CaTD50,0.8125,0.5,0.8125,0.963636364,0.873015873,0.9375,0.8,0.285714286,1,0.818181818,0.833333333,0.75,4.3999813,3.999979,3.999988,0.220000858,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.173137673,0.966824645,0.8,-2.990159384,20.55081428,23.44771483,65.24415748,52.34147997,-61.77133393,2.190050475
vmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.873015873,0.9375,0.8,0.428571429,1,0.818181818,0.8,0.75,4.3999813,3.428556857,3.999988,0.220000858,0.685714663,1.33E-06,0.769230769,0.545454545,0.727272727,0.161875195,0.966824645,0.8,-12.38523141,13.48101299,23.94479337,66.20541435,34.47169497,-37.92677986,108.5980211
vmax-vrest-max_dv-camax-carest,0.75,0.5625,0.875,0.890909091,0.857142857,0.979166667,0.8,0.428571429,1,0.727272727,0.833333333,0.833333333,2.933326244,2.999986,5.99997,0.275000997,0.666667056,1.20E-06,0.666666667,0.545454545,0.8,0.197672586,0.938388626,0.8,-1.215046541,12.51152581,8.669971492,45.95214237,23.61090613,12.96023026,-51.8913864
vmax-vrest-max_dv-camax-CaTD50,0.8125,0.5,0.8125,0.927272727,0.777777778,0.916666667,0.8,0.285714286,1,0.818181818,0.833333333,0.75,4.3999813,2.999986,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.23347809,0.924170616,0.8,0.460555591,11.16747276,-5.403919871,28.42012754,7.075150641,-0.934254058,12.07566959
vmax-vrest-max_dv-carest-CaTD50,0.8125,0.5,0.8125,0.945454545,0.873015873,0.958333333,0.8,0.285714286,1,0.818181818,0.833333333,0.75,4.3999813,2.999986,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.218399254,0.952606635,0.8,-0.045396538,14.34201316,2.37608392,45.3633455,19.8503047,-26.18827009,5.375185588
vmax-vrest-max_dv-carest-CaTD90,0.75,0.5,0.8125,0.909090909,0.825396825,0.9375,0.6,0.428571429,1,0.818181818,0.666666667,0.833333333,3.29998735,1.9999965,4.499979,0.488889514,0.666667056,1.33E-06,0.6,0.545454545,0.727272727,0.192791374,0.957345972,0.8,21.09341824,46.14902759,-7.802812798,58.73616933,-29.45517819,118.3787262,117.067194
vmax-vrest-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.888888889,0.947916667,0.8,0.428571429,1,0.818181818,0.8,0.75,4.3999813,3.428556857,3.999988,0.244445368,0.571429,1.33E-06,0.727272727,0.6,0.727272727,0.13473269,0.971563981,0.8,-15.61959309,11.28355252,13.63079834,64.91364753,95.14249362,-75.62405798,227.8953242
vmax-APD50-camax-carest-CaTD50,0.8125,0.375,0.6875,0.927272727,0.777777778,0.916666667,0.8,0.142857143,1,0.818181818,0.8,0.583333333,4.3999813,1.714281429,2.39999664,0.244445368,0.857143029,1.71E-06,0.727272727,0.25,0.615384615,0.23519289,0.933649289,0.8,-5.968191312,1.320893101,20.74583,69.45170637,-125.486946,87.20475263,-36.06919412
vmax-APD90-camax-carest-CaTD50,0.8125,0.5,0.8125,0.927272727,0.825396825,0.9375,1,0.142857143,0.75,0.727272727,0.833333333,0.75,3.666656889,2.571419143,3.999988,1.38E-06,0.857143,0.272728066,0.769230769,0.25,0.666666667,0.245465959,0.943127962,0.8,-3.41570594,5.578687943,24.85044649,27.5338155,-12.42919734,-7.085449247,-5.990517881
vrest-APD50-camax-carest-CaTD90,0.8125,0.5,0.8125,0.927272727,0.80952381,0.9375,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.213178202,0.952606635,0.8,-5.591189763,25.62197716,96.79159704,59.25787812,-8.964563791,-48.87406034,12.79628696
qNet-dvdtmax-vmax-vrest-CaTD50,0.8125,0.5,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.818181818,0.666666667,0.75,4.3999813,1.785712321,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.615384615,0.727272727,0.203015337,0.924170616,0.766666667,3.49224828,43.18890439,-34.22589671,-12.31495721,-1.116562071,57.06674113,18.99859895
qNet-dvdtmax-vrest-APD90-carest,0.8125,0.5,0.8125,0.890909091,0.785714286,0.916666667,0.6,0.285714286,1,0.818181818,0.714285714,0.75,4.3999813,1.999993,3.999988,0.440000616,0.833333528,1.33E-06,0.666666667,0.4,0.727272727,0.229218983,0.938388626,0.766666667,-33.09306523,87.40549013,-118.4022239,27.68046998,146.4571372,118.6170422,-80.51115512
qNet-dvdtmax-vrest-max_dv-camax,0.8125,0.5,0.8125,0.927272727,0.76984127,0.895833333,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.80000028,1.33E-06,0.666666667,0.5,0.727272727,0.245465959,0.938388626,0.766666667,-44.92286169,90.65099471,-170.3046349,32.84221876,59.43301584,38.49576956,-33.80467986
qNet-vmax-vrest-APD50-camax,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.785712321,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.192032313,0.933649289,0.766666667,-1.568652073,38.70149884,-36.57542319,-4.434140067,59.77311286,25.2910654,-25.41499505
qNet-vmax-vrest-camax-carest,0.8125,0.4375,0.75,0.909090909,0.746031746,0.895833333,0.6,0.285714286,1,0.818181818,0.666666667,0.666666667,4.3999813,1.714281429,2.999994,0.440000616,0.857143029,1.50E-06,0.666666667,0.4,0.666666667,0.27068686,0.924170616,0.766666667,-18.74580865,51.64360489,-146.3016828,-6.881471627,65.37493575,-43.77468461,-22.34712175
qNet-vrest-APD50-camax-CaTD90,0.8125,0.5625,0.875,0.890909091,0.777777778,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.193831631,0.947867299,0.766666667,-0.863372495,38.8286934,-33.59792255,59.09388449,13.18907441,-8.108494447,20.94454952
qNet-vrest-max_dv-camax-CaTD90,0.8125,0.5,0.75,0.890909091,0.761904762,0.875,0.6,0.428571429,1,0.909090909,0.666666667,0.666666667,6.599938401,1.49999825,2.999994,0.440000616,0.80000028,1.50E-06,0.666666667,0.5,0.666666667,0.253013565,0.924170616,0.766666667,-79.16535806,88.54712931,-205.9548518,48.68591911,24.41630107,-2.080730861,28.47695662
dvdtmax-vmax-vrest-APD50-carest,0.8125,0.5,0.8125,0.854545455,0.777777778,0.9375,0.6,0.567857143,1,0.818181818,0.666666667,0.75,4.3999813,1.999993,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.6,0.727272727,0.210269177,0.924170616,0.766666667,-14.01367982,20.98042699,-33.08101023,29.65138417,92.35910814,69.09522916,-86.62398738
dvdtmax-vrest-APD50-carest-CaTD50,0.8125,0.4375,0.75,0.954545455,0.825396825,0.895833333,1,0,1,0.727272727,1,0.666666667,3.666656889,0.999998828,2.999994,1.38E-06,1,1.50E-06,0.769230769,0,0.666666667,0.352686057,0.933649289,0.766666667,-19.82485858,8.580612198,43.33369331,-23.42651193,86.74984589,61.76878104,9.198592844
dvdtmax-vrest-camax-carest-CaTD90,0.8125,0.5,0.8125,0.890909091,0.761904762,0.916666667,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.999993,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.239186049,0.928909953,0.766666667,-9.201978997,20.19427888,-13.25851635,89.92742994,47.26523721,-26.64709688,91.74732345
dvdtmax-APD50-carest-CaTD50-CaTD90,0.75,0.5,0.8125,0.890909091,0.80952381,0.958333333,0.6,0.428571429,1,0.818181818,0.666666667,0.75,3.29998735,1.714282857,3.999988,0.488889514,0.761905079,1.33E-06,0.6,0.5,0.727272727,0.221869712,0.938388626,0.766666667,-33.08412137,-24.86123621,-4.130511768,-32.95546356,154.5581972,-105.3950435,277.0938141
vmax-APD50-APD90-carest-CaTD90,0.8125,0.4375,0.75,0.927272727,0.777777778,0.895833333,1,0.142857143,0.75,0.727272727,0.8,0.666666667,3.666656889,1,2.999992,1.38E-06,1,0.333334222,0.769230769,0.222222222,0.6,0.289044115,0.933649289,0.766666667,1.781036256,14.01080598,15.50833556,35.90106376,-30.62129232,23.36684776,21.34865027
vrest-APD90-camax-carest-CaTD50,0.8125,0.5,0.75,0.872727273,0.777777778,0.927083333,0.6,0.428571429,1,0.818181818,0.714285714,0.666666667,4.3999813,1.999993,2.999994,0.440000616,0.761905079,1.50E-06,0.666666667,0.5,0.666666667,0.265814901,0.909952607,0.766666667,0.417956994,25.22295259,84.28454952,17.29481089,56.47103442,-94.69418577,27.99332893
