Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8
qNet-dvdtmax-APD50-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.75,0.854545455,0.761904762,0.90625,0.6,0.428571429,0.75,0.818181818,0.5,0.75,4.3999813,1.428570571,2.999992,0.440000616,0.71428619,0.333334222,0.666666667,0.545454545,0.6,0.225261032,0.91943128,0.7,-32.82793067,51.66719788,-138.204649,24.24456491,-72.86461195,35.66459808,36.05953949,-16.94541534,-26.69148897,49.34512291
qNet-vmax-vrest-APD90-max_dv-camax-carest-CaTD50,0.8125,0.5,0.6875,0.836363636,0.80952381,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.9999965,2.39999664,0.440000616,0.685714663,0.333334222,0.666666667,0.545454545,0.6,0.296122072,0.90521327,0.7,-35.31306128,78.74292875,-161.9530861,-19.04101887,52.76454082,-88.8912995,49.50761145,46.87828307,-51.26975924,15.6245665
qNet-vmax-vrest-APD90-max_dv-camax-carest-CaTD90,0.75,0.5,0.8125,0.872727273,0.682539683,0.895833333,0.4,0.428571429,1,0.909090909,0.571428571,0.75,4.3999626,1.333332556,3.999988,0.660000374,0.80000028,1.33E-06,0.5,0.5,0.727272727,0.293913076,0.933649289,0.7,-0.128868061,30.77884197,4.883082939,-7.603187173,94.21151725,85.58073187,-89.53441318,65.24849732,28.49485411,154.3355757
qNet-vmax-vrest-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.3125,0.625,0.945454545,0.666666667,0.833333333,0.4,0.142857143,1,1,0.571428571,0.5,400000.2569,0.333334889,1.999998,0.6000004,1.499999125,2.00E-06,0.571428571,0.181818182,0.571428571,0.463834732,0.943127962,0.7,-14.48481499,39.24854823,-113.2844257,2.106479516,172.48203,33.26419638,-61.72907679,-76.78311271,14.10544493,-7.426619716
qNet-vmax-APD50-APD90-max_dv-carest-CaTD50-CaTD90,0.75,0.5,0.8125,0.781818182,0.634920635,0.9375,0.4,0.571428571,1,0.909090909,0.571428571,0.75,4.3999626,1.333332556,3.999988,0.660000374,0.750000438,1.33E-06,0.5,0.571428571,0.727272727,0.29711237,0.900473934,0.7,-50.01227796,-17.93141657,-59.18459401,16.1290262,-157.6202855,311.457094,-104.0549514,27.82268746,-80.26986874,152.213706
qNet-APD50-APD90-max_dv-camax-carest-CaTD50-CaTD90,0.75,0.5,0.8125,0.872727273,0.714285714,0.916666667,0.6,0.285714286,0.75,0.727272727,0.571428571,0.75,2.933326244,1.285713429,3.999988,0.488889514,0.857143071,0.30000084,0.6,0.4,0.666666667,0.267926562,0.933649289,0.7,-14.41147657,26.86433963,-63.35607126,-5.719850994,-46.35524567,34.85907964,-46.80989856,111.9885762,-60.43068533,106.0562945
dvdtmax-vmax-vrest-APD50-APD90-max_dv-camax-CaTD50,0.6875,0.5625,0.875,0.8,0.666666667,0.9375,0.4,0.428571429,0.75,0.818181818,0.571428571,0.833333333,2.1999934,1.523808127,5.99997,0.733333659,0.761905079,0.272728066,0.444444444,0.5,0.75,0.278017754,0.91943128,0.7,-27.00855819,6.673038091,10.34047692,12.94703659,91.6755472,136.2729408,224.5321992,-132.5804116,-147.9028025,-72.64786648
dvdtmax-vmax-vrest-APD50-APD90-max_dv-carest-CaTD50,0.75,0.5,0.8125,0.872727273,0.682539683,0.895833333,0.4,0.571428571,1,0.909090909,0.571428571,0.75,4.3999626,1.333332556,3.999988,0.660000374,0.750000438,1.33E-06,0.5,0.571428571,0.727272727,0.280711688,0.928909953,0.7,-11.30723656,22.58916137,29.54953729,0.293197226,105.8698806,58.66621804,193.8071408,-123.6095988,-94.35689008,0.13177162
dvdtmax-vmax-vrest-APD50-APD90-camax-carest-CaTD90,0.75,0.5,0.8125,0.872727273,0.73015873,0.927083333,0.6,0.285714286,0.75,0.727272727,0.666666667,0.833333333,2.933326244,1.666665111,4.499979,0.488889514,0.816326741,0.30000084,0.6,0.4,0.666666667,0.206720594,0.947867299,0.7,11.14739454,83.3096659,-79.92265991,77.87497364,143.618006,138.3391522,-55.8150892,-55.42221134,22.63909979,51.80401715
dvdtmax-vmax-vrest-APD50-max_dv-camax-carest-CaTD50,0.75,0.5625,0.875,0.890909091,0.777777778,0.9375,0.4,0.714285714,0.75,0.909090909,0.5,0.833333333,4.3999626,1.499999125,5.99997,0.660000374,0.60000056,0.272728066,0.5,0.625,0.75,0.247458887,0.952606635,0.7,-15.23401765,23.57813773,17.45268653,-3.346582042,117.1739385,178.7744137,-37.71845137,-65.40273778,-58.39340597,-34.73876234
dvdtmax-vmax-vrest-APD90-max_dv-camax-carest-CaTD90,0.75,0.5,0.8125,0.854545455,0.682539683,0.895833333,0.4,0.428571429,1,0.909090909,0.571428571,0.75,4.3999626,1.333332556,3.999988,0.660000374,0.80000028,1.33E-06,0.5,0.5,0.727272727,0.283923097,0.914691943,0.7,-11.42735951,19.35819622,16.56171699,1.104965781,91.69463629,213.8198734,-131.4666816,29.25186086,-49.33520461,61.91559625
dvdtmax-vmax-vrest-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.75,0.854545455,0.698412698,0.895833333,0.4,0.571428571,1,1,0.571428571,0.666666667,400000.0742,1.333332556,2.999994,0.6000004,0.750000438,1.50E-06,0.571428571,0.571428571,0.666666667,0.335897978,0.909952607,0.7,-20.58036793,13.42126072,-17.66136728,-0.677666677,96.92127638,-34.41176818,107.931253,-14.84422401,-15.92575847,199.6974647
dvdtmax-vmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.75,0.5,0.8125,0.890909091,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.833333333,3.29998735,1.285713429,4.499979,0.488889514,0.857143071,0.30000084,0.6,0.461538462,0.666666667,0.256607829,0.938388626,0.7,-46.48359728,-32.14828655,-29.0169709,34.06876996,-4.6009761,5.880600791,7.900116738,96.92838052,-115.0384753,264.5290936
