Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8
qNet-dvdtmax-vmax-vrest-APD90-max_dv-CaTD50-CaTD90,0.75,0.5,0.75,0.872727273,0.777777778,0.916666667,0.6,0.285714286,1,0.818181818,0.666666667,0.666666667,3.29998735,1.714281429,2.999994,0.440000616,0.833333528,1.50E-06,0.666666667,0.4,0.666666667,0.261367744,0.933649289,0.766666667,-14.24392606,49.95210255,-58.30440527,-103.3810549,78.55838198,132.6356043,-72.56585554,63.71103888,-28.61202208,144.731091
qNet-dvdtmax-vmax-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.746031746,0.875,0.6,0.285714286,1,0.818181818,0.666666667,0.666666667,4.3999813,1,2.999994,0.440000616,1,1.50E-06,0.666666667,0.363636364,0.666666667,0.279335504,0.943127962,0.766666667,-19.63436938,46.01420827,-66.80610529,38.88568387,-0.80497179,56.76433404,-49.58882733,157.7150786,2.015356339,20.58037495
qNet-dvdtmax-vrest-APD50-APD90-max_dv-carest-CaTD90,0.8125,0.5,0.75,0.890909091,0.785714286,0.916666667,0.6,0.285714286,1,0.818181818,0.714285714,0.666666667,4.3999813,1.714282857,2.999994,0.440000616,0.833333528,1.50E-06,0.666666667,0.4,0.666666667,0.239194115,0.943127962,0.766666667,-19.52980137,88.77988488,-79.76102703,8.574232267,209.6443514,43.11816754,29.56529948,32.61304631,-58.23386908,53.93881544
qNet-dvdtmax-vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.890909091,0.793650794,0.947916667,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.184625214,0.947867299,0.766666667,-30.10661122,9.629808667,-31.67326813,7.452416945,66.79862171,74.72036947,-54.4829684,15.38090863,-75.13224586,95.64515402
qNet-dvdtmax-vrest-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.890909091,0.793650794,0.947916667,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.186613635,0.947867299,0.766666667,-33.78439049,5.641666146,-50.44415193,9.746922221,37.21178406,44.51373183,-43.62227933,39.31399992,-82.19868636,118.6872723
qNet-vmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.19590086,0.933649289,0.766666667,-34.82162198,3.757911425,-55.1818666,3.005235231,26.51434224,-59.80466881,61.74174924,36.96350806,-70.38829967,146.0297731
qNet-vmax-vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.947916667,0.6,0.571428571,0.75,0.909090909,0.571428571,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.189523231,0.938388626,0.766666667,-34.05513896,5.35739387,-30.31192071,1.951729357,66.96812676,60.50760247,-36.80324072,17.92256447,-77.9039905,123.9862683
qNet-vmax-vrest-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.872727273,0.80952381,0.9375,0.6,0.428571429,1,0.818181818,0.8,0.75,4.3999813,2.49999475,3.999988,0.4000006,0.685714663,1.33E-06,0.727272727,0.545454545,0.727272727,0.220379583,0.924170616,0.766666667,-30.70330531,51.56623691,-134.3153169,-18.41572835,25.38794007,47.62145754,-120.8504113,51.33642369,-20.30659074,-55.28839504
dvdtmax-vrest-APD50-APD90-max_dv-camax-CaTD50-CaTD90,0.8125,0.5625,0.875,0.818181818,0.746031746,0.947916667,0.6,0.571428571,0.75,0.909090909,0.571428571,0.833333333,6.5999384,1.714283571,5.99997,0.488889514,0.60000056,0.272728066,0.6,0.615384615,0.75,0.216988976,0.91943128,0.766666667,-48.48789757,-13.94849744,57.36185216,106.3077573,136.4782532,250.2388966,-155.1485489,-102.8064164,-133.8274574,150.4138577
dvdtmax-vrest-APD50-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.854545455,0.698412698,0.895833333,0.6,0.571428571,1,0.909090909,0.625,0.75,6.599938401,1.49999825,3.999988,0.440000616,0.750000437,1.33E-06,0.666666667,0.571428571,0.727272727,0.266291889,0.914691943,0.766666667,-39.14384259,-8.011170472,36.34953863,95.68804393,41.13767833,227.4309627,-140.2482331,-17.11034308,-83.21471875,177.5635804
