Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7
dvdtmax-vmax-vrest-APD90-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.857142857,0.9375,0.6,0.428571429,1,0.818181818,0.714285714,0.833333333,4.3999813,2.571423857,4.499979,0.4000006,0.571429,1.33E-06,0.727272727,0.6,0.727272727,0.134922441,0.966824645,0.8,-24.77257437,5.495298305,-40.08157962,31.17715007,68.32998149,14.13620971,56.62652425,-62.14497309,189.4726032
dvdtmax-vmax-vrest-max_dv-carest-CaTD50-CaTD90,0.75,0.5625,0.875,0.890909091,0.80952381,0.9375,0.6,0.571428571,1,0.818181818,0.666666667,0.833333333,3.29998735,1.714283571,5.99997,0.488889514,0.642857679,1.33E-06,0.6,0.6,0.75,0.21487895,0.957345972,0.8,2.790283842,35.61712288,-27.93006195,7.171639453,74.25008148,-28.27930468,145.8831625,-39.40483665,211.5342899
dvdtmax-vrest-APD50-APD90-camax-carest-CaTD90,0.8125,0.5,0.75,0.872727273,0.777777778,0.927083333,0.6,0.428571429,1,0.909090909,0.666666667,0.666666667,6.599938401,1.666665111,2.999994,0.440000616,0.761905079,1.50E-06,0.666666667,0.5,0.666666667,0.261252751,0.924170616,0.8,-9.938583873,28.8736338,-15.51205475,112.6708316,107.9954746,-70.09763128,20.11687347,-52.59796217,51.10193387
dvdtmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.890909091,0.761904762,0.927083333,0.6,0.428571429,1,0.909090909,0.666666667,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.227684583,0.938388626,0.8,-27.24474715,10.95143922,-9.818046245,110.1449533,128.3254052,-71.87062385,-14.35337184,-55.05717252,135.7996779
vmax-vrest-APD50-APD90-camax-CaTD50-CaTD90,0.8125,0.5625,0.875,0.909090909,0.80952381,0.947916667,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.785712321,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.175477881,0.952606635,0.8,-35.13894546,4.212810101,2.535616657,112.7224183,180.6643986,-66.81855287,-60.58733555,-91.62802417,131.0268925
qNet-dvdtmax-vmax-vrest-max_dv-CaTD50-CaTD90,0.8125,0.5,0.8125,0.909090909,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.187368631,0.952606635,0.766666667,-14.89358758,25.25501465,-46.90860102,20.52963728,-8.649758933,49.51045444,9.289281875,-33.8534536,71.51834528
qNet-dvdtmax-vmax-APD50-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.841269841,0.9375,0.6,0.571428571,0.75,0.818181818,0.6,0.833333333,5.49997525,1.714284286,4.499979,0.4000006,0.60000056,0.30000084,0.727272727,0.615384615,0.666666667,0.162159343,0.966824645,0.766666667,-14.48302457,24.28831553,-72.23081619,61.63996531,-33.94294494,-58.75896719,161.5320446,-96.13220253,238.848311
qNet-dvdtmax-vmax-APD90-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.825396825,0.916666667,0.8,0.571428571,0.75,0.818181818,0.6,0.75,5.49997525,1.714283571,3.999988,0.244445368,0.642857679,0.30000084,0.727272727,0.615384615,0.666666667,0.172385776,0.962085308,0.766666667,-34.00840001,5.376596609,-67.73126688,78.14667624,-18.28287656,8.533391102,77.2668301,-122.0450311,216.4813137
qNet-dvdtmax-vmax-max_dv-carest-CaTD50-CaTD90,0.875,0.5,0.8125,0.945454545,0.825396825,0.927083333,0.8,0.571428571,0.75,0.818181818,0.6,0.75,5.49997525,1.714283571,3.999988,0.244445368,0.642857679,0.30000084,0.75,0.615384615,0.666666667,0.169324739,0.962085308,0.766666667,-34.05664468,5.609958393,-68.70387098,78.6491147,-19.81641698,3.932229841,82.98085129,-124.1254191,223.2223983
qNet-dvdtmax-vrest-APD50-camax-carest-CaTD50,0.8125,0.5625,0.875,0.872727273,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.188068897,0.933649289,0.766666667,-15.57138836,24.79879031,-30.78273943,0.95307239,71.662403,71.65666272,-46.39927552,-29.30212315,-24.28099101
qNet-dvdtmax-vrest-max_dv-camax-carest-CaTD50,0.75,0.5,0.75,0.863636364,0.777777778,0.916666667,0.6,0.285714286,1,0.818181818,0.75,0.666666667,3.29998735,1.999993,2.999994,0.440000616,0.833333528,1.50E-06,0.666666667,0.4,0.666666667,0.253761961,0.924170616,0.766666667,32.87403543,143.7144765,-42.23815039,-74.559713,207.8464229,-3.461170947,44.60986072,60.75164848,133.7783704
qNet-dvdtmax-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.947916667,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.193159078,0.938388626,0.766666667,-28.76486856,9.578147878,-73.43899838,9.727005852,-118.595382,101.1145626,41.95244689,-56.65217753,111.5831
qNet-vmax-vrest-APD50-camax-carest-CaTD50,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.187756254,0.933649289,0.766666667,-16.00232086,24.39083358,-30.03052144,0.993011703,72.36257849,73.87228691,-47.54895908,-30.12650428,-25.08996455
qNet-vmax-vrest-APD50-camax-CaTD50-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.190224723,0.938388626,0.766666667,-29.32690388,10.39506458,-30.03349978,2.418907517,69.08419412,58.3441233,-29.62232221,-62.49414637,97.03990248
qNet-vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.947916667,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.572143707,0.272728066,0.666666667,0.615384615,0.75,0.19057326,0.938388626,0.766666667,-34.45900525,5.375320088,-31.94700032,67.03360448,55.18227838,-32.74503174,19.91791149,-77.50374631,129.2159917
qNet-vrest-APD90-max_dv-camax-CaTD50-CaTD90,0.8125,0.5,0.8125,0.872727273,0.80952381,0.947916667,0.8,0.428571429,1,0.818181818,0.8,0.75,4.3999813,2.571419143,3.999988,0.244445368,0.685714663,1.33E-06,0.727272727,0.545454545,0.727272727,0.217200972,0.924170616,0.766666667,-44.64629523,36.92369502,-114.974551,43.46749464,-12.74640032,75.43588919,-85.44504519,-40.50310005,-14.39806519
dvdtmax-vmax-vrest-max_dv-camax-carest-CaTD50,0.8125,0.5,0.75,0.872727273,0.746031746,0.895833333,0.6,0.428571429,1,0.909090909,0.666666667,0.666666667,6.599938401,1.49999825,2.999994,0.488889514,0.80000028,1.50E-06,0.6,0.5,0.666666667,0.270362635,0.90521327,0.766666667,5.867894232,39.75626777,-28.91988234,14.10040634,91.70311311,-11.46552826,75.76571499,-83.85544399,59.8030318
dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.906818182,0.6,0.833333333,6.572439322,1.9999965,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.188199327,0.943127962,0.766666667,-17.97464276,23.24687827,0.520397882,120.9306392,212.0978396,-71.50215588,-88.7950407,-42.6278725,-44.36544256
vmax-vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.927272727,0.841269841,0.947916667,0.8,0.428571429,0.75,0.727272727,0.8,0.833333333,3.666656889,2.857133571,5.99997,0.244445368,0.666667056,0.272728066,0.727272727,0.545454545,0.75,0.163138041,0.966824645,0.766666667,-28.37161337,4.475589089,23.37889629,87.18433918,127.7350699,-81.18692648,-8.724887429,-83.78399024,82.11045692
qNet-dvdtmax-vmax-vrest-APD50-APD90-CaTD50,0.75,0.4375,0.75,0.890909091,0.761904762,0.895833333,0.6,0.285714286,1,0.727272727,0.714285714,0.666666667,2.933326244,1.714281429,2.999994,0.440000616,0.857143029,1.50E-06,0.666666667,0.4,0.666666667,0.255503968,0.933649289,0.733333333,11.56184933,90.05028119,-61.31308441,-98.18085096,65.70998663,111.2510419,23.15928942,-25.32545675,65.51007964
qNet-dvdtmax-vmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.836363636,0.80952381,0.927083333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.571429429,0.272728066,0.666666667,0.666666667,0.666666667,0.228385636,0.91943128,0.733333333,-32.92923175,5.983660232,-36.43460297,-17.15105927,8.776753282,54.32317787,25.67306428,-54.00866326,113.3064135
qNet-dvdtmax-vmax-vrest-max_dv-camax-CaTD50,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.1943809,0.924170616,0.733333333,-3.082783049,37.76983057,-44.08967071,-4.737252391,-3.574434929,49.76361547,8.245317702,-16.18911595,3.278069304
qNet-dvdtmax-vmax-APD50-APD90-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.836363636,0.841269841,0.927083333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.500000875,0.30000084,0.666666667,0.666666667,0.666666667,0.239411832,0.91943128,0.733333333,-22.91227789,16.10461076,-73.21927262,-9.760361142,10.06844057,-126.4482489,116.3407466,-22.3870464,32.88908024
qNet-dvdtmax-vmax-APD50-max_dv-camax-CaTD90,0.8125,0.5,0.75,0.818181818,0.825396825,0.90625,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.9999965,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.6,0.6,0.257883622,0.909952607,0.733333333,-12.93346259,29.81768789,-77.10278313,-9.498255246,2.424045567,-131.1722332,42.54444904,66.19741014,67.37886615
qNet-dvdtmax-vrest-APD90-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.890909091,0.777777778,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.833333333,6.599938401,1.714283571,4.499979,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.197718922,0.943127962,0.733333333,-35.25090027,3.849121817,-40.11786461,3.335514934,51.92343853,19.0819146,29.38711148,-77.51772801,164.9017329
