Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3
dvdtmax-APD50-camax,0.8125,0.5,0.8125,0.945454545,0.793650794,0.9375,1,0.142857143,0.75,0.727272727,0.833333333,0.75,3.666656889,1.999993,3.999988,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.296856284,0.928909953,0.8,-2.075960562,1.837355719,3.72807334,7.936900506,1.337660088
dvdtmax-APD50-carest,0.8125,0.5,0.8125,0.945454545,0.80952381,0.9375,1,0.142857143,0.75,0.727272727,0.833333333,0.75,3.666656889,1.999993,3.999988,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.28925501,0.933649289,0.8,-1.880640648,2.083557091,3.380436641,7.840088985,1.861616835
dvdtmax-APD90-CaTD90,0.75,0.5,0.8125,0.927272727,0.841269841,0.9375,0.8,0.285714286,1,0.727272727,0.857142857,0.833333333,2.933326244,2.571419143,4.499979,0.244445368,0.816326741,1.33E-06,0.714285714,0.4,0.727272727,0.26855526,0.933649289,0.8,-2.002479721,1.435395467,3.069961191,7.799405463,-1.532476743
dvdtmax-camax-CaTD50,0.75,0.5,0.8125,0.927272727,0.746031746,0.916666667,0.8,0.142857143,1,0.727272727,0.857142857,0.75,2.933326244,2.285704,3.999988,0.275000997,0.857143,1.33E-06,0.666666667,0.25,0.727272727,0.294249425,0.90521327,0.8,-1.306257945,2.816478752,0.673691284,8.093427179,6.383606009
dvdtmax-camax-CaTD90,0.8125,0.5,0.8125,0.963636364,0.777777778,0.916666667,1,0.142857143,0.75,0.727272727,0.857142857,0.75,3.666656889,2.571419143,3.999988,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.298781347,0.924170616,0.8,-2.042386121,1.959484764,5.324496936,11.5152411,11.83908743
vmax-vrest-CaTD50,0.875,0.5,0.8125,0.945454545,0.746031746,0.895833333,0.8,0.428571429,1,0.909090909,0.8,0.75,6.599938401,2.571419143,3.999988,0.244445368,0.642857679,1.33E-06,0.75,0.6,0.727272727,0.200727689,0.900473934,0.8,0.300180193,5.610713184,-5.491163478,16.85567804,8.983457222
vmax-APD50-camax,0.8125,0.4375,0.75,0.945454545,0.793650794,0.916666667,1,0.142857143,0.75,0.727272727,0.833333333,0.75,3.666656889,1.999993,2.999994,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.28023806,0.933649289,0.8,-2.466001794,7.840541479,18.74143293,20.38226793,-7.461757417
vmax-APD50-carest,0.8125,0.4375,0.75,0.927272727,0.761904762,0.916666667,1,0.142857143,0.75,0.727272727,0.8,0.666666667,3.666656889,1,2.999992,1.38E-06,1,0.333334222,0.769230769,0.222222222,0.6,0.297013317,0.928909953,0.8,-3.448617801,7.337665907,22.03519244,21.2961374,-11.57840849
vmax-APD50-CaTD50,0.8125,0.4375,0.75,0.945454545,0.80952381,0.916666667,1,0.142857143,0.75,0.727272727,0.857142857,0.75,3.666656889,1.999993,2.999994,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.299180306,0.933649289,0.8,-0.986356527,7.850644138,14.12674257,13.14739191,3.523679755
vmax-APD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.793650794,0.916666667,1,0.142857143,0.75,0.727272727,0.833333333,0.75,3.666656889,1.999993,2.999994,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.275721538,0.933649289,0.8,-2.380169213,8.316067719,20.4782518,13.96677636,9.619208311
vmax-APD90-carest,0.8125,0.5,0.8125,0.927272727,0.793650794,0.916666667,1,0.142857143,0.75,0.727272727,0.857142857,0.75,3.666656889,1.999993,3.999988,1.38E-06,0.857143,0.30000084,0.769230769,0.25,0.666666667,0.292364826,0.933649289,0.8,-2.928476313,5.989910015,21.83198858,19.26827837,-12.32435066
vrest-APD50-CaTD50,0.8125,0.5,0.8125,0.945454545,0.825396825,0.9375,0.8,0.285714286,1,0.727272727,0.833333333,0.75,3.666656889,2.999986,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.224570339,0.947867299,0.8,3.627795472,20.59863889,37.53328855,18.0045748,14.67884732
vrest-APD90-carest,0.8125,0.5625,0.875,0.872727273,0.825396825,0.979166667,0.8,0.428571429,1,0.818181818,0.8,0.833333333,4.3999813,2.999986,5.99997,0.244445368,0.666667056,1.20E-06,0.727272727,0.545454545,0.8,0.190515636,0.933649289,0.8,-4.842102332,14.51545315,69.59265946,46.63442802,-53.13923538
vrest-max_dv-carest,0.75,0.5625,0.875,0.872727273,0.857142857,0.979166667,0.8,0.428571429,1,0.727272727,0.8,0.833333333,2.933326244,2.999986,5.99997,0.275000997,0.666667056,1.20E-06,0.666666667,0.545454545,0.8,0.197772329,0.938388626,0.8,0.223617914,12.26364072,46.32258206,20.64207982,-31.22302242
dvdtmax-max_dv-carest,0.75,0.5625,0.875,0.909090909,0.825396825,0.958333333,0.8,0.285714286,0.75,0.727272727,0.714285714,0.833333333,2.933326244,1.999993,5.99997,0.275000997,0.761905079,0.272728066,0.666666667,0.444444444,0.75,0.237380215,0.91943128,0.766666667,-1.132186447,2.113819625,1.187562349,3.709303333,3.25635679
dvdtmax-carest-CaTD50,0.8125,0.5,0.8125,0.963636364,0.746031746,0.875,1,0.285714286,0.75,0.727272727,0.833333333,0.75,3.666656889,2.571419143,3.999988,1.37E-06,0.714286,0.30000084,0.769230769,0.444444444,0.666666667,0.254246057,0.914691943,0.766666667,-0.709878845,4.06822325,-1.152561192,11.51231268,7.600789359
max_dv-carest-CaTD50,0.8125,0.5,0.8125,0.981818182,0.761904762,0.875,1,0.285714286,0.75,0.727272727,0.857142857,0.75,3.666656889,2.857133571,3.999988,1.37E-06,0.714286,0.30000084,0.769230769,0.444444444,0.666666667,0.251444671,0.909952607,0.766666667,-0.572871365,3.991550965,0.053830071,10.82997189,7.378545699
qNet-vmax-APD50,0.8125,0.4375,0.75,0.890909091,0.714285714,0.916666667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.5,0.6,0.248162813,0.928909953,0.733333333,-11.55310272,22.2818792,-46.31999364,6.371981939,-1.568090706
