Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
dvdtmax-vrest-APD50-APD90-CaTD50-CaTD90,0.8125,0.5,0.8125,0.890909091,0.761904762,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.571428571,0.727272727,0.225752048,0.943127962,0.8,-33.04849366,5.050268339,-7.677813056,109.6492274,128.3935466,-71.74129185,-73.63052398,173.6169796
dvdtmax-vrest-APD50-camax-carest-CaTD90,0.8125,0.5,0.8125,0.909090909,0.793650794,0.9375,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.22508105,0.943127962,0.8,-7.492392849,24.11647699,-6.965322422,96.88123335,59.25150687,-13.83443451,-42.13456079,13.78530535
dvdtmax-vrest-max_dv-carest-CaTD50-CaTD90,0.75,0.5625,0.875,0.890909091,0.80952381,0.9375,0.6,0.571428571,1,0.818181818,0.666666667,0.833333333,3.29998735,1.714283571,5.99997,0.488889514,0.642857679,1.33E-06,0.6,0.615384615,0.75,0.222341992,0.957345972,0.8,3.791524688,36.51009868,-23.29141549,75.68249334,-34.26892029,166.4819011,-44.08357602,231.9069656
vmax-vrest-APD50-APD90-camax-carest,0.8125,0.5,0.8125,0.890909091,0.761904762,0.927083333,0.6,0.428571429,1,0.909090909,0.666666667,0.75,6.599938401,1.714281429,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.216762616,0.943127962,0.8,-5.251972557,34.57182698,-2.284007974,118.0174361,148.5404512,-73.10876225,-14.97209382,-67.41368966
vmax-vrest-APD90-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.888888889,0.947916667,0.8,0.428571429,1,0.818181818,0.8,0.75,4.3999813,3.428556857,3.999988,0.244445368,0.571429,1.33E-06,0.727272727,0.6,0.727272727,0.13568142,0.971563981,0.8,-15.40684791,11.28231497,12.54814206,64.32565546,1.674597156,89.15590089,-72.19992565,218.5209326
qNet-dvdtmax-vmax-vrest-max_dv-CaTD90,0.75,0.5,0.75,0.899772727,0.777777778,0.916666667,0.6,0.285714286,1,0.818181818,0.714285714,0.75,3.29998735,1.714282857,2.999994,0.440000616,0.833333528,1.50E-06,0.666666667,0.4,0.666666667,0.22741882,0.947867299,0.766666667,-28.91442598,65.1176159,-46.53948457,-127.0481338,112.4497125,130.3876335,39.81973128,120.164465
qNet-dvdtmax-vmax-carest-CaTD50-CaTD90,0.875,0.5,0.8125,0.945454545,0.825396825,0.916666667,0.6,0.571428571,0.75,0.818181818,0.6,0.83125,5.49997525,1.714283571,3.999988,0.4000006,0.642857679,0.30000084,0.75,0.615384615,0.666666667,0.172922196,0.962085308,0.766666667,-34.58989828,4.412829481,-67.31467168,85.39535139,-24.69126806,99.44373534,-133.3695958,249.6369897
qNet-dvdtmax-vrest-APD90-CaTD50-CaTD90,0.8125,0.5,0.75,0.854545455,0.777777778,0.895833333,0.6,0.428571429,1,0.909090909,0.666666667,0.666666667,6.599938401,1.714283571,2.999994,0.440000616,0.714286071,1.50E-06,0.666666667,0.545454545,0.666666667,0.25978376,0.91943128,0.766666667,-4.322035118,88.71910963,-90.7535123,-38.17728141,100.813617,-11.80937623,62.63371351,-32.21164013
qNet-vmax-vrest-APD50-camax-CaTD50,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,0.25000075,0.666666667,0.615384615,0.75,0.185382494,0.938388626,0.766666667,-9.822464612,30.46825372,-33.32914556,-3.004059039,65.19349167,59.85048575,-54.91765103,-19.6387205
qNet-vrest-APD50-max_dv-carest-CaTD90,0.8125,0.5,0.75,0.836363636,0.825396825,0.875,0.6,0.428571429,1,0.909090909,0.8,0.666666667,6.599938401,2.571419143,2.999992,0.440000616,0.666667056,1.71E-06,0.666666667,0.545454545,0.615384615,0.295895683,0.90521327,0.766666667,-40.25143154,44.23463781,-129.2883371,36.96038443,-24.79262472,48.90724501,-68.82435838,-53.25418784
qNet-vrest-APD50-camax-CaTD50-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.6,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.191787759,0.933649289,0.766666667,-28.0189016,11.62993946,-31.70776568,67.79843104,49.04839321,-22.34933759,-56.98998486,96.1614989
dvdtmax-vmax-vrest-APD50-carest-CaTD50,0.8125,0.5,0.8125,0.854545455,0.777777778,0.9375,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.666667056,1.33E-06,0.666666667,0.545454545,0.727272727,0.211432908,0.924170616,0.766666667,-13.05363787,21.92137384,-33.5010825,29.1793085,92.08372043,66.07656154,-82.80781286,2.270946301
dvdtmax-vmax-vrest-APD90-max_dv-CaTD50,0.8125,0.4375,0.75,0.936363636,0.825396825,0.895833333,1,0,1,0.727272727,1,0.666666667,3.666656889,0.999998625,2.999994,1.38E-06,1,1.50E-06,0.769230769,0,0.666666667,0.349863585,0.943127962,0.766666667,-25.21833526,14.09628653,64.18867463,26.73132624,29.48400394,201.1223123,-30.68374792,0.090305891
dvdtmax-vmax-vrest-camax-carest-CaTD50,0.8125,0.5,0.8125,0.872727273,0.746031746,0.916666667,0.6,0.428571429,1,0.818181818,0.666666667,0.75,4.3999813,1.49999825,3.999988,0.440000616,0.80000028,1.33E-06,0.666666667,0.5,0.727272727,0.252237815,0.91943128,0.766666667,3.731400012,37.42208005,-33.06599629,29.50812968,87.41841734,62.03371128,-87.01138344,47.52463713
vmax-vrest-APD50-camax-carest-CaTD90,0.8125,0.4375,0.75,0.963636364,0.825396825,0.895833333,1,0,1,0.727272727,1,0.666666667,3.666656889,1.000000852,2.999994,1.38E-06,1,1.50E-06,0.769230769,0,0.666666667,0.317776886,0.924170616,0.766666667,-35.93876789,4.331140515,51.66921232,-73.34018982,36.45021436,19.11070124,104.8331582,75.63077516
vmax-vrest-APD50-camax-CaTD50-CaTD90,0.8125,0.5625,0.875,0.927272727,0.841269841,0.947916667,0.8,0.428571429,0.75,0.727272727,0.75,0.833333333,3.666656889,2.849990829,5.99997,0.244445368,0.666667056,0.272728066,0.727272727,0.545454545,0.75,0.166926058,0.966824645,0.766666667,-32.6351772,0.630514943,23.79500596,88.0578344,131.0505407,-84.43122828,-96.07426185,103.8571509
vmax-vrest-APD90-camax-carest-CaTD50,0.75,0.5,0.8125,0.890909091,0.777777778,0.9375,0.6,0.285714286,1,0.818181818,0.714285714,0.75,3.29998735,1.999993,3.999988,0.440000616,0.816326741,1.33E-06,0.666666667,0.4,0.727272727,0.232125621,0.943127962,0.766666667,-2.254518882,22.71998942,16.03868954,76.07772624,33.54500153,46.02961704,-101.5474976,16.28657561
qNet-dvdtmax-vrest-APD90-camax-CaTD90,0.75,0.5625,0.75,0.836363636,0.841269841,0.895833333,0.6,0.428571429,1,0.818181818,0.8,0.666666667,3.29998735,2.999986,2.999994,0.440000616,0.666667056,1.50E-06,0.666666667,0.545454545,0.666666667,0.280692574,0.91943128,0.733333333,-8.77064565,65.16278503,-100.2369261,-39.16915259,119.0912023,60.4218171,-65.5129832,-16.38315233
qNet-dvdtmax-vrest-max_dv-camax-CaTD50,0.8125,0.5625,0.8125,0.854545455,0.825396825,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.727272727,0.206228279,0.924170616,0.733333333,-4.367580535,36.48960854,-42.88084245,-11.55357793,49.61975559,9.496197918,-17.86361687,2.719162185
qNet-dvdtmax-vrest-max_dv-CaTD50-CaTD90,0.8125,0.5,0.8125,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.785712321,3.999988,0.440000616,0.60000056,0.250568933,0.666666667,0.615384615,0.727272727,0.194400829,0.928909953,0.733333333,-22.22172666,17.82430583,-42.68363653,-2.130041918,51.34194605,11.30022364,-38.13242717,83.40925136
