Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
qNet-dvdtmax-camax-carest,0.75,0.5,0.8125,0.872727273,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,3.29998735,1.49999825,3.999988,0.488889514,0.761905079,0.30000084,0.6,0.5,0.666666667,0.221233097,0.928909953,0.7,-1.554118453,34.41701685,-48.57805277,3.082771194,-19.2206195,43.23007682
qNet-vmax-vrest-APD90,0.75,0.5,0.75,0.818181818,0.80952381,0.90625,0.6,0.571428571,0.75,0.818181818,0.571428571,0.75,3.29998735,1.714282857,2.999992,0.488889514,0.653061621,0.333334222,0.6,0.6,0.6,0.272761499,0.909952607,0.7,-5.619652327,36.18344774,-54.41491937,-4.229101197,25.19785011,2.204250695
qNet-vmax-vrest-max_dv,0.75,0.5,0.75,0.818181818,0.80952381,0.90625,0.6,0.571428571,0.75,0.818181818,0.571428571,0.75,3.29998735,1.714283571,2.999992,0.488889514,0.60000056,0.333334222,0.6,0.6,0.6,0.271381486,0.909952607,0.7,-5.931428875,35.90887363,-54.93429707,-4.773222272,25.00245727,1.272276557
qNet-vmax-vrest-CaTD50,0.8125,0.5,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.818181818,0.6,0.75,4.3999813,1.714284286,3.999988,0.440000616,0.642857679,0.272728066,0.666666667,0.615384615,0.666666667,0.214181648,0.91943128,0.7,-0.585199493,40.42757354,-44.97028919,-9.762243296,46.2080045,12.03580857
qNet-vmax-APD50-max_dv,0.8125,0.5,0.8125,0.890909091,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.761905079,0.30000084,0.666666667,0.5,0.666666667,0.224610902,0.933649289,0.7,-11.68649466,24.60516215,-54.14364335,7.12199153,-31.12852032,21.00293553
qNet-vmax-camax-carest,0.75,0.5,0.8125,0.872727273,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.428570357,3.999988,0.488889514,0.80000028,0.30000084,0.6,0.5,0.666666667,0.228256692,0.928909953,0.7,-2.171562306,34.38697665,-48.63910508,3.332322213,-16.74559823,38.9585355
qNet-vrest-APD50-max_dv,0.8125,0.5,0.8125,0.854545455,0.80952381,0.916666667,0.6,0.571428571,0.75,0.818181818,0.6,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.6,0.666666667,0.216687139,0.91943128,0.7,-8.294961896,32.573601,-57.69311558,15.76170873,-23.38424512,16.34876664
qNet-vrest-APD50-CaTD50,0.8125,0.5,0.8125,0.872727273,0.777777778,0.927083333,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,4.3999813,1.714282857,3.999988,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.201435545,0.928909953,0.7,-1.166364076,40.31418647,-43.90914591,37.42073737,4.806742176,9.266442895
qNet-vrest-APD90-max_dv,0.75,0.5,0.75,0.8,0.761904762,0.90625,0.6,0.428571429,0.75,0.818181818,0.5,0.75,3.29998735,1.428570571,2.999992,0.488889514,0.750000437,0.333334222,0.6,0.545454545,0.6,0.272302264,0.90521327,0.7,-4.032851674,37.75055182,-51.64929223,25.09921121,14.57052966,-7.32122914
qNet-vrest-APD90-CaTD50,0.8125,0.5,0.8125,0.872727273,0.777777778,0.9375,0.6,0.571428571,0.75,0.818181818,0.6,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.666667056,0.272728066,0.666666667,0.571428571,0.727272727,0.1993558,0.928909953,0.7,-1.057646668,39.97857141,-43.71446797,37.48059677,4.726153399,9.44336272
