Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3
qNet-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.5,0.6,0.245373989,0.914691943,0.733333333,-7.431159093,10.62788001,-22.44483582,0.904432796,-1.00525583
qNet-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143029,0.333334222,0.727272727,0.5,0.6,0.234989468,0.924170616,0.733333333,-14.01322633,13.69249003,-22.89683818,9.540462062,7.585238476
dvdtmax-vrest-APD90,0.8125,0.5,0.8125,0.927272727,0.746031746,0.916666667,0.8,0.428571429,0.75,0.818181818,0.666666667,0.833333333,4.3999813,1.714283571,4.499979,0.244445368,0.714286,0.30000084,0.727272727,0.5,0.666666667,0.223817256,0.928909953,0.733333333,-5.445062835,10.27384497,2.653099676,15.64031918,24.6509641
dvdtmax-vrest-max_dv,0.8125,0.5,0.8125,0.927272727,0.777777778,0.916666667,0.8,0.285714286,0.75,0.818181818,0.666666667,0.75,4.3999813,1.49999825,3.999988,0.244445368,0.80000028,0.30000084,0.727272727,0.444444444,0.666666667,0.25059548,0.91943128,0.733333333,-2.680018282,6.995720593,-0.74951636,10.88880868,13.20771882
dvdtmax-APD90-carest,0.75,0.5,0.8125,0.927272727,0.714285714,0.916666667,0.8,0.285714286,0.75,0.727272727,0.714285714,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143029,0.30000084,0.666666667,0.363636364,0.666666667,0.288727803,0.900473934,0.733333333,-2.795131931,2.008735184,6.16252144,9.381075156,1.278467366
vmax-vrest-CaTD90,0.875,0.5,0.8125,0.945454545,0.761904762,0.895833333,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,8.799914201,1.428570571,4.499979,0.4000006,0.642857679,0.30000084,0.75,0.615384615,0.666666667,0.225042555,0.914691943,0.733333333,-2.066248773,6.307448202,-5.062959857,18.23502538,16.62743196
vrest-APD50-carest,0.8125,0.5,0.8125,0.927272727,0.746031746,0.895833333,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.428570571,3.999988,0.440000616,0.750000437,0.30000084,0.666666667,0.545454545,0.666666667,0.219029858,0.933649289,0.733333333,-12.15080635,14.58501411,27.38460655,39.60803047,-6.36080546
vrest-APD50-CaTD50,0.8125,0.5,0.8125,0.927272727,0.746031746,0.90625,0.8,0.428571429,0.75,0.818181818,0.6,0.75,4.3999813,1.714283571,3.999988,0.244445368,0.714286071,0.30000084,0.727272727,0.545454545,0.666666667,0.217959241,0.928909953,0.733333333,-10.24608924,13.81699739,20.81063229,28.75520965,4.478238273
vrest-APD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.746031746,0.895833333,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.428570571,3.999988,0.440000616,0.750000437,0.30000084,0.666666667,0.545454545,0.666666667,0.217959241,0.933649289,0.733333333,-12.58353911,14.20666644,25.08823903,28.7007957,10.02438138
vrest-APD90-camax,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,4.3999813,1.714283571,4.499979,0.4000006,0.685714663,0.30000084,0.727272727,0.545454545,0.666666667,0.212510146,0.938388626,0.733333333,-10.81135366,15.45441358,26.53175515,42.04636701,-8.368366196
