Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7
qNet-vmax-max_dv-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.762857459,0.333334222,0.75,0.571428571,0.6,0.257578575,0.924170616,0.733333333,-32.93104761,0.20655712,-38.58583106,-3.857023789,-0.68219649,-6.306690405,17.84195357,-38.19260211,66.33044683
qNet-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.571428571,0.6,0.246568553,0.928909953,0.733333333,-20.22902607,10.38534368,-39.22998198,4.134559722,-21.16696452,50.41292193,-1.805886215,-8.023971616,-16.5923887
qNet-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.250469672,0.928909953,0.733333333,-25.00454366,6.886855268,-36.08246875,3.884951977,-37.37172335,39.08154485,8.452226214,-24.0094609,43.41444921
qNet-APD50-max_dv-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.715179047,0.333334222,0.75,0.571428571,0.6,0.259153905,0.91943128,0.733333333,-31.86405402,2.991892862,-41.95942195,-94.43045062,20.58960228,49.67436214,6.409203868,-19.14660359,101.6141515
dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD50,0.8125,0.4375,0.75,0.927272727,0.666666667,0.8125,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.5,0.6,0.273779094,0.909952607,0.733333333,-21.41062829,11.38695707,-129.8169962,69.32349091,-64.75986082,37.45713407,-11.75732729,22.48280004,24.79790758
dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD90,0.875,0.4375,0.75,0.927272727,0.698412698,0.822916667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.269438652,0.914691943,0.733333333,-44.04601546,-11.76712795,-129.3930254,68.87610988,-120.568689,43.2776602,24.28639195,27.55467066,102.2756317
dvdtmax-vmax-APD50-max_dv-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.268836781,0.91943128,0.733333333,-42.90772152,-11.2974742,-122.0897368,63.26577849,-84.34810202,34.57361536,34.75218108,-8.731643857,90.09334678
dvdtmax-vmax-APD50-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.927272727,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.260691429,0.924170616,0.733333333,-39.78992876,-9.466904773,-87.99098914,40.65260485,-37.7242655,-15.55629496,48.72503242,-13.416342,92.0917695
dvdtmax-vmax-max_dv-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.263555586,0.91943128,0.733333333,-54.09483676,-24.048066,-94.1411734,53.95837043,19.76779921,-26.29073078,31.64615192,-45.31382727,93.65527776
dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.4375,0.75,0.927272727,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.750000438,0.333334222,0.727272727,0.571428571,0.6,0.255527568,0.914691943,0.733333333,-15.92649145,14.83398165,-5.226736963,35.77407675,110.7273226,-50.73566475,-10.06565569,-9.161917425,-10.85307383
dvdtmax-APD50-APD90-max_dv-camax-carest-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.5,0.6,0.24043311,0.928909953,0.733333333,-19.41858563,4.322543575,-16.66021252,-10.31956599,44.29477669,-59.40208489,-34.78134906,64.02927964,65.9460252
dvdtmax-APD50-APD90-max_dv-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.5,0.6,0.245879705,0.924170616,0.733333333,-22.21497528,1.417406313,-13.31707682,-42.24081239,16.25522313,-43.94564162,58.22890108,3.802341704,101.5965239
dvdtmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.822916667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.253196554,0.91943128,0.733333333,-30.70785422,-9.071035511,-17.88852309,-58.01293085,-59.65329296,18.62375016,64.48734328,-16.72769149,169.6226014
dvdtmax-APD50-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.5,0.6,0.249023636,0.924170616,0.733333333,-25.02395175,-1.289920958,-17.53516644,-11.51334077,-37.70613382,-25.45699481,68.44948512,-12.78009271,104.9603615
dvdtmax-APD90-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.333332556,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.5,0.6,0.240404066,0.924170616,0.733333333,-19.90859909,3.471143123,-12.95135007,49.82359926,-59.09543133,-47.9110969,67.55391448,-9.410150179,65.63097487
vrest-APD50-APD90-max_dv-camax-carest-CaTD50,0.8125,0.4375,0.75,0.927272727,0.746031746,0.875,0.6,0.428571429,0.75,0.909090909,0.6,0.75,6.599938401,1.428570571,2.999994,0.440000616,0.80000028,0.30000084,0.666666667,0.5,0.666666667,0.227565014,0.938388626,0.733333333,-59.18301884,24.59935285,103.292186,93.84282749,82.07761501,73.06754154,-120.4661948,13.33466952,-69.28910781
APD50-APD90-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.545454545,0.6,0.242264341,0.924170616,0.733333333,-21.93068602,0.891804952,36.02895116,70.39697163,-67.70826336,-66.03181688,62.14398888,-24.66343484,49.12553052
