Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
qNet-APD50-APD90-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.249934982,0.928909953,0.733333333,-25.47160005,6.550477608,-40.9910885,-55.74523663,51.79380499,10.25037086,-24.84178396,45.31261573
qNet-APD50-max_dv-camax-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.245406247,0.91943128,0.733333333,-20.97201285,10.35900949,-35.89496165,36.45666039,0.850222947,-17.08497833,2.441694772,-22.90362497
qNet-APD50-max_dv-camax-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.249999563,2.999992,0.440000616,0.750000438,0.333334222,0.666666667,0.571428571,0.6,0.261668445,0.91943128,0.733333333,-28.6202905,6.310616314,-39.91409342,-127.2597615,21.38270071,77.46162558,-0.373237479,102.6375326
qNet-APD50-max_dv-camax-CaTD50-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.249999563,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.571428571,0.6,0.262205271,0.91943128,0.733333333,-32.0028316,3.251005337,-44.43111253,-99.32592744,22.87753588,57.70549419,-16.64293346,97.91559935
qNet-APD50-max_dv-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.259528862,0.91943128,0.733333333,-27.45323747,5.265764945,-35.10862767,-25.08433255,7.269166133,19.88101426,-29.43754841,67.67686139
qNet-APD90-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.84375,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.252168037,0.924170616,0.733333333,-35.82914415,-3.887114233,-39.18257238,27.70993524,-11.59345408,8.718249413,-45.1256776,53.74133922
qNet-max_dv-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000438,0.333334222,0.75,0.571428571,0.6,0.256447337,0.924170616,0.733333333,-37.99864233,-4.76114814,-36.1703818,3.474088704,0.213076373,13.64307692,-44.06069576,77.226925
dvdtmax-vmax-vrest-max_dv-camax-carest,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.262421439,0.91943128,0.733333333,-26.13148334,4.939037762,-93.33054253,53.23903227,15.9360761,30.37882312,-11.27868172,-2.392132713
dvdtmax-vmax-APD50-max_dv-camax-carest,0.8125,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.5,0.6,0.259403876,0.914691943,0.733333333,-26.68948401,4.330869151,-111.8795086,61.62103203,-9.000517842,28.93243861,-37.93855002,25.62225565
dvdtmax-vmax-APD50-max_dv-camax-CaTD50,0.8125,0.4375,0.75,0.927272727,0.666666667,0.802083333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.5,0.6,0.275482301,0.90521327,0.733333333,-23.87260925,9.322670437,-136.8423875,80.64919714,-93.22281272,53.29624266,21.6950369,32.55028309
